question,class,answer,drug,doctor,speciality
I am getting cough from last 4 days. Pls prescribe any antibiotic. Getting coughing regularly.,cold and cough,Augmentin duo 625 twice daily for 5 days,https://1mg.com/drugs/augmentin-625-duo-tablet-138629,Dr. Pushkar Mani,Physician
"Throat pain, light fever, unab Giving Augmentin DDS. What should be dosage for 8 years Whether Augmentin DRS is good or Augmentin DIP Augmentin DDS OR Augmentin DUO",cold and cough,"The risks that are associated with self-medication include: Inaccurate diagnosis. Using inappropriate medications that cause side effects. Masking the symptoms of a serious condition. Delaying medical advice. Inaccurate dosage that leads to accidental overdoseYour Question is not clear to me . Please ask your question more clearly and in detail and also try be more specific and descriptive.It's important to remember that antibiotics only fight bacteria -- they do not fight infections caused by viruses. That means they won't work for colds, most sore throats and bronchitis and some ear infections. Yet, one in three antibiotic prescriptions in the U.S. are given to treat those conditions. The unnecessary doses are a potential health threat.",https://1mg.com/drugs/augmentin-625-duo-tablet-138629,Dr. Gopal Bansilal Samdani,Paediatrics
"What should I do for Cold and congestion, cough with green mucus clogged ear. Also I get very tired by day end.",cold and cough,"Take steam thrice daily. Tab augmentin duo 625 mg thrice daily. Get CBC, ESR, RBS, chest X at n X Ray pns done",https://1mg.com/drugs/augmentin-625-duo-tablet-138629,Dr. Sfurti Mann,Internal Medicine
what is best medicine dose for dental sepsis?,other,Augmentin 625 mg for adult,https://1mg.com/drugs/augmentin-625-duo-tablet-138629,Dr. B. N. Prasad,Dental Surgery
"Cold cough,asthmatic ,watering from nose,throt infection",cold and cough,Take augmentin 625 twice a day,https://1mg.com/drugs/augmentin-625-duo-tablet-138629,Dr. Kamal Rijhwani,Physician
"I am having sinus, sore throat, tonsils paining and fever, can I take paracetamol with azax Or pls prescribe some good medicines I have taken azax 500",cold and cough,Take Augmentin 625 TDs x 5 days,https://1mg.com/drugs/augmentin-625-duo-tablet-138629,Dr. Shubhra Chandan Pradhan,ENT
Sir I got one limph gland on swelling and it is like so hard with painfully.It is located neck backside right shoulder up.I pinched one pimple above the skin there then it raised immediately Kindly suggest me what to do ?,other,Tab zerodol P TDS Tab augmentin duo 625mg BD for 5 days,https://1mg.com/drugs/augmentin-625-duo-tablet-138629,Dr. Sfurti Mann,Internal Medicine
Suffering from several extremely painful wounds we call it baltor in local language Sir please try to give your nice suggestions as soon as possible,other,Fudic cream twice a dayTab azithral 500 daily for 3 days,https://1mg.com/drugs/azithral-500-tablet-325616,Dr. Atul Jain,Dermatology
"Suffering from Fever for lat 3 days. Taken SINAREST tab. again Now, fever is coming. Measuring 100 in thermometer. Purchased DOLO650 & Azithral500. Any Suggestion.",fever,yes medicine is fine take it azithral 500 mg once daily for 3 days,https://1mg.com/drugs/azithral-500-tablet-325616,Dr. Pushkar Mani,Physician
Suffering from cold since 4 to 5 days,cold and cough,Take tab azithral 500 OD for 3daysSteam inhalation n nasivion nasal drops thrice daily,https://1mg.com/drugs/azithral-500-tablet-325616,Dr. Sfurti Mann,Internal Medicine
"I am PATIENT  31- Two days before, a pimple formed in my neck. It is paining. I don't want to operate it. So please help me doctor.",other,"Tab azithral 500 daily for 3 days,T- bact ointment twice a day for few days",https://1mg.com/drugs/azithral-500-tablet-325616,Dr. Atul Jain,Dermatology
Suffering from Sore throat remedies to cure,cold and cough,Warm saline gargles 1-1-1Tab Azithral 500 mg 1-0-0 x 3 days.,https://1mg.com/drugs/azithral-500-tablet-325616,Dr. Pushkar Mani,Physician
"Having fever, paining in throat while swallowing and thick cough",cold and cough,Tab pantop 40 mg OD before breakfast Tab azithral 500 mg OD for 3days Betadine gargles thrice daily,https://1mg.com/drugs/azithral-500-tablet-325616,Dr. Sfurti Mann,Internal Medicine
I am suffering from cold and cough too. Suggest me something which shall not frost the cold. Thanks in advance.,cold and cough,"Cetcip 5 mg thrice daily for 3 days , grilinctus syrup 2 tsf thrive daily for 3 days, tablet azithral 500 mg once daily for 3 days",https://1mg.com/drugs/azithral-500-tablet-325616,Dr. Pushkar Mani,Physician
I have allergic cough frequently,cold and cough,syrup Ascoril LS 5ml 3 times for 5 days,https://1mg.com/drugs/ascoril-ls-syrup-63412,Dr. Pushkar Mani,Physician
"I am Aortic valve replaced person on 1998, I am having Acitrome 3mg,Deeplatt 75,Zart50mg in daily Now I am facing problems severe cough and Cold",cold and cough,take syrup ASCORIL LS 5ml 3 times for 5 days,https://1mg.com/drugs/ascoril-ls-syrup-63412,Dr. Pushkar Mani,Physician
Viral fever 5 days back consulted and completed the course. Now suffering with cough . Pls advise,fever,Take syrup Ascoril ls 10 ml thrice a day for 5 days,https://1mg.com/drugs/ascoril-ls-syrup-63412,Dr. Pushkar Mani,Physician
A lot of cough is there and bulgum is also coming so please tell some methods to cure it.,cold and cough,syrup Ascoril LS 5ml 3 times for 3 days,https://1mg.com/drugs/ascoril-ls-syrup-63412,Dr. Pushkar Mani,Physician
"Cough consistent for the past 3 days at a continuous stretch. Also suffering from cold. Cough is more prominent in early morning, after waking up",cold and cough,syrup Ascoril LS 5ml 3 times for 5 daysMontair LC twice daily for 5days,https://1mg.com/drugs/ascoril-ls-syrup-63412,Dr. Pushkar Mani,Physician
Dry cough and little bit body pain and throught pain due to cough.,cold and cough,ascoril LS 5ml 3 times for 5 days,https://1mg.com/drugs/ascoril-ls-syrup-63412,Dr. Pushkar Mani,Physician
Throat infection unable to speak.my voice got a stuck Severe cold with dry cough,cold and cough,Azithromycin 500 mg once daily for 3 daysSyrup ASCORIL LS 5ml three times for 5 days,https://1mg.com/drugs/ascoril-ls-syrup-63412,Dr. Pushkar Mani,Physician
